"ADM0_A3","maize","soybean","wheat"
"IDN",0.207772714151357,0.438964674015167,0.262177740817743
"MYS",0.194653795447586,0.43875530060974,0.267919155037593
"CHL",0.174751215026872,0.478408545097899,0.254496679696861
"BOL",0.236992041273177,0.497322315192399,0.298668943673878
"PER",0.19875626339875,0.400448928972914,0.269108908902471
"ARG",0.205451472326571,0.395873479966064,0.243597179239792
"ESB",1.15,0.68,0.23
"CYP",0.18672881269474,0.813727194626248,0.244937268324328
"IND",0.247998987730949,0.697886899008711,0.261386504696755
"CHN",0.217143214285342,0.40675521026352,0.270993539016559
"ISR",0.186212218359183,0.395282553452125,0.205721729671615
"PSX",0.22,0.51,0.24
"LBN",0.161112119635894,0.357039998846798,0.188945733479356
"ETH",0.439171675628276,0.530236948828394,0.272682157256165
"SDS",0.32,0.55,0.24
"SOM",0.229333928571429,0.55,0.299152892561983
"KEN",0.268999463745233,0.338560596612469,0.205625742262519
"PAK",0.232583104729691,0.555282632195861,0.238926113986529
"MWI",0.28721155984814,0.598500800524256,0.249391947748635
"TZA",0.214061763228151,0.74850506448739,0.25217382479476
"SYR",0.168953522755663,0.380516191518649,0.180042905674206
"SOL",0.32,0.55,0.24
"FRA",0.191157119885497,0.416116646897721,0.215205311585527
"SUR",0.194285747258918,0.644522003034901,0.245878269458222
"GUY",0.184640958292352,1.30072027413226,0.269256578185141
"KOR",0.197968331242079,0.463624866065584,0.250725850683662
"PRK",0.304931574716769,0.668785324359192,0.582840812778442
"MAR",0.189384057907649,0.401089140454152,0.217345001950158
"SAH",0.22,0.51,0.24
"CRI",0.191407151112861,0.413075390975409,0.272175892090312
"NIC",0.195224258305705,0.432638826209345,0.249073406061795
"COG",0.191740087858258,0.69345206914615,0.199763621639132
"COD",0.230989509862726,1.13675804346157,0.194533763801652
"BTN",0.227573546008577,0.63,0.23
"UKR",0.186820133554639,0.411749706405675,0.189266539102639
"BLR",0.160228251659384,0.389171717256549,0.152639021085913
"NAM",0.233877266727099,0.743467312747886,0.279108773503564
"ZAF",0.198057124147137,0.405120533947006,0.223251952338919
"MAF",0.37,1.33,0.23
"SXM",0.600342270393611,1.33,0.23
"OMN",0.282973224964934,0.404198328369307,0.243675457307247
"UZB",0.234714354948261,0.427754217297285,0.156819367947839
"KAZ",0.199805486916906,0.485009449119415,0.184983039348289
"TJK",0.248424361493124,0.422503667686633,0.215931498874932
"LTU",0.166530135486608,0.492647457131418,0.224823406634819
"BRA",0.189315488909496,0.405447833800947,0.22924439121507
"URY",0.15315120842454,0.391621887922552,0.215037879010066
"MNG",0.22180060363186,0.830874757945541,0.245238638345875
"RUS",0.184058893802365,0.396521368995484,0.199481462313727
"CZE",0.165505111524866,0.477456511449774,0.200922257157356
"DEU",0.186221715872347,0.405973228373247,0.22757179867676
"EST",0.237582925838168,0.904379852719937,0.208461366712041
"LVA",0.173910563077025,0.441330753397686,0.209591343716782
"NOR",0.205312016756063,0.456003900452302,0.24122182192117
"SWE",0.280598490460807,0.863758724455729,0.214163179163606
"FIN",0.300350128148452,1.33580605814735,0.192004615857986
"VNM",0.19612651405124,0.42871265978236,0.255397957193162
"KHM",0.168909713407726,0.547121863048187,0.301008075175287
"LUX",0.178636235983024,0.496509033281027,0.21410081369319
"ARE",0.214563784509618,0.404422822750756,0.263973685394634
"BEL",0.191256928254243,0.459066115040906,0.203990324134339
"GEO",0.170633579290675,0.39427905080252,0.208132236633457
"MKD",0.165523909006497,0.444943708602046,0.209572904788917
"ALB",0.202401530690302,0.41994,0.22213603648518
"AZE",0.174654434028795,0.385301860891868,0.198289720142237
"KOS",0.18,0.42,0.21
"TUR",0.209986531615483,0.406249412288663,0.222958436550223
"ESP",0.182803324886922,0.394965756802242,0.20544056820675
"LAO",0.245163624911439,0.579487963466502,0.281795304520313
"KGZ",0.107677595204773,0.144927352136752,0.177004685537749
"ARM",0.192987432102544,0.555616367472038,0.22812293699624
"DNK",0.191371893825866,0.756455496544471,0.208000503805376
"LBY",0.167863281369685,0.201351818181818,0.203286631110919
"TUN",0.17486304915012,0.398004101132851,0.211599578840019
"ROU",0.183572007045217,0.450357375756517,0.216601665733459
"HUN",0.174210490476161,0.441104782840563,0.216842196539237
"SVK",0.163537377274796,0.412715713580523,0.199562424619312
"POL",0.186387749512851,0.412531406149839,0.221878277333204
"IRL",0.185479653790808,0.352543039411346,0.210367864420353
"GBR",0.204455550959267,0.407356961400411,0.222855558099033
"GRC",0.186057066095167,0.397603051061149,0.225250841091639
"ZMB",0.272644298558706,0.593294548202735,0.313121588875503
"SLE",0.394402667738309,0.900035865632715,0.168
"GIN",0.363548165088718,0.55,0.224230470629279
"LBR",0.40881806218128,0.55,0.32
"CAF",0.449964714250584,1.42,0.23
"SDN",0.196651840412552,0.577177047678085,0.220447082363214
"DJI",0.263685655210329,0.563877272727273,0.183913548827906
"ERI",0.296096324461343,0.55,0.24
"AUT",0.169499957930193,0.541357998770759,0.242301552065839
"IRQ",0.21496166394075,0.512699894602244,0.286907928561013
"ITA",0.178066857543969,0.434794187761869,0.22581648371984
"CHE",0.202616285782274,0.427855711602466,0.245408792018523
"IRN",0.174422719552173,0.376559595601189,0.207464807466377
"NLD",0.192820551461774,0.4073452388219,0.197918546032526
"LIE",0.37,1.33,0.23
"CIV",0.179591371200569,0.413045346648113,0.259750697851194
"SRB",0.188401926470629,0.409296944109064,0.205903436710131
"MLI",0.0866615882025484,0.145680034440507,0.204149606152756
"SEN",0.181054620493347,0.312336186010389,0.226776739399258
"NGA",0.162023633305448,0.36453405770157,0.247691850110467
"BEN",0.182531142256146,1.32047827551364,0.450816326530612
"AGO",0.263340118184391,0.963534042077674,0.232385652059838
"HRV",0.170492300922904,0.409947647367117,0.201033346881668
"SVN",0.167280929165596,0.381313140199093,0.209822344401525
"QAT",0.273145803875638,0.323101543779214,0.264373238051896
"SAU",0.206623059235104,0.401006483462123,0.245392078022542
"BWA",0.218379759542009,0.593920788534068,0.310688123686821
"ZWE",0.272536385887479,0.587510436882019,0.320484582183229
"BGR",0.189161001458353,0.42474157732493,0.208708752196942
"THA",0.255422326528993,0.419555860707382,0.231105996059428
"SMR",0.24,0.8,0.23
"HTI",0.301388600063057,0.406795696327385,0.223799119795396
"DOM",0.231018132321414,0.604030927742311,0.2491111147669
"TCD",0.32,0.55,0.24
"KWT",0.354901384866051,0.578158947621632,0.272160007596167
"SLV",0.206979083295519,0.202944244453853,0.275962278580053
"GTM",0.198806057390087,0.347817261637143,0.283335340763324
"TLS",0.275417887299673,0.173699609465327,0.33
"BRN",0.216029742621012,0.763042307977472,0.52624584717608
"MCO",0.37,1.33,0.23
"DZA",0.185954978615193,0.291911939490584,0.230340776908523
"MOZ",0.214881170372766,0.631867934808577,0.280346910661516
"SWZ",0.199009464756307,1.12437280760179,0.312430326325334
"BDI",0.200728674497084,0.58,0.314088326542948
"RWA",0.243563938562148,0.908207721737294,0.284437528046076
"MMR",0.257030758873318,0.519426984621994,0.274207365975501
"BGD",0.202965501896774,0.411471303277513,0.20456156833588
"AND",0.613611823457957,0.8,0.271953368131597
"AFG",0.309992253568662,0.445305088681558,0.19002082491324
"MNE",0.174690940681198,0.472323089186077,0.191575759742529
"BIH",0.178820465223969,0.39207720376176,0.206176382719034
"UGA",0.202296295618786,0.376771920091078,0.26225425228871
"USG",0.32,0.89,0.71
"CUB",0.18510434832993,0.391126406909098,0.235266761778432
"HND",0.201072486166799,0.599182597092891,0.273790851154343
"ECU",0.248037036934542,1.7813907605408,0.237897441769277
"COL",0.188842744795619,0.396716419928359,0.253046799486552
"PRY",0.159113099053322,0.379843794351915,0.188827185857958
"PRT",0.176827507278102,0.401301716967306,0.215582389074352
"MDA",0.170718666700592,0.387188435997243,0.198362752284447
"TKM",0.158014827460648,0.381060583617242,0.19
"JOR",0.21738564555144,1.86315546891014,0.207534766220757
"NPL",0.236807031892785,0.463456034330521,0.245062513097356
"LSO",0.179857617986696,1.12165965247476,0.176987503030699
"CMR",0.226712738839374,1.42,0.251621367867701
"GAB",0.288177441540578,0.733640719645602,0.204734494710781
"NER",0.131711913897716,0.0530551529483561,0.220876230239453
"BFA",0.124233240744854,0.637275395364677,0.274091530688225
"TGO",0.313544875564274,0.600629274287177,0.259544966886115
"GHA",0.183020918965273,0.458287551756461,0.236897821337963
"GNB",1.45399188092016,0.55,0.24
"GIB",1.15,0.68,0.23
"USA",0.202724414949599,0.421699085854402,0.266376679364536
"CAN",0.182046272642419,0.454830632867688,0.261101216341579
"MEX",0.20190074836248,0.400499586283124,0.242880192828971
"BLZ",0.285606644413398,0.644029243413375,0.273791050121804
"PAN",0.176041798489284,0.383067214739405,0.256077173956561
"VEN",0.223388087779663,0.377666382850116,0.272470392876241
"PNG",0.929902678389589,0.711770438548998,0.248115965187695
"EGY",0.23699928292697,0.536819172858516,0.202103752535274
"YEM",0.234347432172309,0.792295272881266,0.231883277344243
"MRT",0.174266694408594,1.1575,0.196871325516629
"GNQ",1.12645833333333,3.10901162790698,0.2892
"GMB",0.32,0.3124,0.195704817276866
"HKG",0.264775007100194,0.758337363632238,0.396061326398761
"VAT",0.24,0.8,0.23
"CYN",0.24,0.8,0.23
"CNM",0.24,0.8,0.23
"KAS",0.25,0.7,0.26
"KAB",0.18,0.4,0.19
"WSB",1.15,0.68,0.23
"ATA",NA,NA,NA
"AUS",0.278243891316979,0.56452748286853,0.272507264935557
"GRL",2.28212384306619,0.68,0.23
"FJI",1.28168051038264,0.934925373134328,0.269709555918134
"NZL",0.220799792577384,0.86051192469833,0.274056707256854
"NCL",0.372882771875347,2.79487997447962,0.254106101815566
"MDG",0.294049578753586,1.8908285472973,0.286489857761599
"PHL",0.32254286356223,0.498441809306244,0.25602093890699
"LKA",0.231421027670035,0.461622779468873,0.266460397866397
"CUW",1.15735379671441,1.33,0.23
"ABW",0.523273574797059,2.93064876957494,0.23
"BHS",0.366986057664297,6.10462287104623,7.20459353278936
"TCA",5.18738049713193,0.385729949625769,0.23
"TWN",0.65,0.67,0.33
"JPN",0.202033957837924,0.500774215595694,0.273138697272291
"SPM",0.303978479399689,1.33,0.23
"ISL",0.210995777558439,2.55405686907614,0.222930946816158
"PCN",1.15,0.68,0.23
"PYF",0.382183061926285,3.53564378153104,0.256871651768391
"ATF",0.37,1.33,0.23
"SYC",0.298225071954558,0.590708965971279,0.353952261117031
"KIR",1.4069754754484,0.91,0.32
"MHL",2.15,0.91,0.32
"TTO",0.22404780748997,0.803258633136283,0.275571205420835
"GRD",0.18288432731199,0.89,0.273373737963233
"VCT",0.249598869213675,0.486840611472262,0.343496547916661
"BRB",0.202325206976974,0.406541969843274,0.275587320833479
"LCA",0.215835832971883,1.00216703939495,0.71
"DMA",0.47026068562185,0.89,0.783715012722646
"UMI",0.2,0.42,0.27
"MSR",1.15,0.68,0.23
"ATG",0.505095870347865,0.89,0.71
"KNA",1.64895403921469,1.32843273231623,0.71
"VIR",0.2,0.42,0.27
"BLM",0.37,1.33,0.23
"PRI",0.2,0.42,0.27
"AIA",1.15,0.68,0.301666666666667
"VGB",1.15,0.68,0.151207407407407
"JAM",0.240896836522134,0.637592911568244,0.261619550509813
"CYM",1.15,0.68,0.23
"BMU",0.551533657499692,0.68,0.371816037735849
"HMD",0.7,0.71,0.27
"SHN",0.606265970447728,0.68,0.23
"MUS",0.171219120128965,0.825295028498689,0.261165950896832
"COM",0.128990892531876,0.86,0.28
"STP",0.890222957357844,0.55,0.24
"CPV",0.224233418682789,0.395642686976458,0.212006349501918
"MLT",0.187003609170717,2.351736934801,0.235904980326322
"JEY",1.15,0.68,0.23
"GGY",1.15,0.68,0.23
"IMN",1.15,0.68,0.23
"ALD",1.15,0.68,0.23
"FRO",1.68840985442329,0.68,0.205362236910767
"IOA",0.7,0.71,0.27
"IOT",1.15,0.68,0.23
"SGP",0.227995149684781,0.528144455825686,0.279572459703736
"NFK",0.7,0.71,0.27
"COK",1.59941884599419,0.71,0.27
"TON",2.15,0.91,0.32
"WLF",0.37,1.33,0.23
"WSM",6.88231744115872,0.91,0.32
"SLB",0.403957468398627,0.626898047722343,0.27291857279196
"TUV",2.15,0.91,0.32
"MDV",3.66599797473495,1.44030480453985,0.23
"NRU",2.15,0.91,0.32
"FSM",2.15,0.91,0.32
"SGS",1.15,0.68,0.23
"FLK",1.15,0.68,0.23
"VUT",1.96885235373451,0.91,0.47625
"NIU",0.7,0.71,0.27
"ASM",0.2,0.42,0.27
"PLW",2.15,1.35550113036925,0.32
"GUM",0.2,0.42,0.27
"MNP",0.2,0.42,0.27
"BHR",0.343115411949232,0.592287449949807,0.527082397150671
"CSI",0.7,0.71,0.27
"PGA",NA,NA,NA
"CLP",0.37,1.33,0.23
"MAC",1.46467793188473,0.847582280565351,0.33
"ATC",0.7,0.71,0.27
"BJN",NA,NA,NA
"SER",NA,NA,NA
"SCR",NA,NA,NA
